,회사이름,채용공고,회사평점,회사지역,자격요건
93,브이아이피키드(주),마케팅 팀장,3.5,전국,"The Role 
We are looking for an experienced owned media marketing specialist to execute customer engagement strategy throughout the user journey; starting from site visit through purchase, renew consumption and churn management. The ideal candidate is expert at optimizing user journey, driving exceptional engagement tactics at different inflection point in the journey, and experienced in on site conversion rate optimization. 

Responsibilities

Own the customer conversion rate optimization throughout the customer journey from site visit onwards
Leverage messaging strategies across different channels (Kakao, SMS, email, etc.) to improve customer engagement. 
own the design, messaging, and content creation to leverage across different customer-facing owned channels. 
Manage website and app content including localization, banners, flow optimization, new page / content design in collaboration with the product team. 
Work with HQ product and engineering team to continuously improve site engagement and conversion. 
Partner with sales and customer support teams in implementing messaging framework to delight customers and improve engagement
Attend any marketing events when required.
Any other ad-hoc duties as required.
"
94,(주)고미코퍼레이션,Performance marketing specialist - Online Education (퍼포먼스 마케팅),3.6,서울,"- 이커머스 마케팅 전략 수립 및 운영
* ONSITE 마케팅(자사 종합몰 내 메인/테마 프로모션)
* 국내/해외 플랫폼(웹/앱) 마케팅(자사 종합몰, 자사 브랜드몰, 파트너 브랜드몰, 오픈마켓)
* 브랜드/상품/제품(PB브랜드 파트너 브랜드)
- 국내 본사 유관 부서 및 해외 지사 유관 부서 커뮤니케이션 관리
- 파트너사(브랜드사, 광고대행사, 콘텐츠 제작대행사, MCN회사 등) 커뮤니케이션 관리
- 해외 시장 및 고객 데이터 분석
- 마케팅 예산 기획 및 운영, 결과 보고
- KPI수립, 마케팅 데이터/성과분석 및 보고
- 마케팅 부문 관련 IR 자료 작성 서포트"
95,브이아이피키드(주),Product Manager,3.5,전국,"The Role 
We are looking for a senior performance marketing professional to manage our in-country performance marketing campaigns to efficiently drive leads from a portfolio of paid ad campaigns. The ideal candidate understands the leading ad platforms, can configure as well as optimize ad account / campaign settings with minimal help, and aggressively leverage data to drive continuous improvement.

Responsibilities
Plan and execute the campaigns on paid acquisition channels; including result analysis, ad set / campaign optimization, and looking for new paid acquisition sources.
Take ownership of the ad budget, cost per acquisition and overall acquisition volume from paid campaigns.
Create targeting, messaging and creative strategies based on understanding of the data as well as audience. 
Configure and optimize ad account settings (pixel management, goal management, conversion event management) for Google Ads and Meta Ads.
Track and analyze ad performance using various analytics tools (Google Analytics, MMP, ad platform reports, Google Data Studio)
Work with agencies and ad networks to on board new acquisition channels.


"
96,(주)휴레이포지티브,ML Scientist,3.2,서울,"모든 사람이 건강을 관리하고 유지하기 위해 생에 한 번은 꼭 휴레이의 Product을 만나게 될 것입니다.
우리가 가진 기술, 솔루션, 서비스를 하나의 플랫폼에서 접근할 수 있도록 Product을 만들어 세상에 긍정적인 영향력을 행사할 것입니다.

PX(Product eXperience)본부는 휴레이 Product의 생애주기를 관리하며 최상의 사용자 경험을 제공하기 위해 끊임없이 고민하고 움직입니다.

휴레이의 Product Design팀은 단순히 요구사항을 충족하기 위해 Product을 만드는게 아니라 근원적인 비즈니스적 문제를 해결하고 우리의 사용자에게 가장 좋은 경험을 제공하기 위한 방법이 무엇인지 끊임 없이 고민하며 최고의 Product UX/UI를 만들어 나갑니다. 이 Product을 통해 사용자들에게 건강한 삶을 제공합니다.

ㆍProduct의 기획 및 운영
ㆍProduct 로드맵 수립 및 이행 관리
ㆍProduct 성공을 위한 KPI 수립 및 측정
ㆍ담당 Product의 목적성을 명확히 하고 사용성을 끊임없이 고민
ㆍ전사 조직 (사업, 개발 등)과 협력하여 문제에 대한 해결책을 찾고 적용
ㆍ솔루션은 Product 기능 또는 Process 변경으로 이어질 수 있음
ㆍ내/외부의 요구사항 관리"
97,(주)띵스플로우,SDK Software Engineer (Android/iOS),3.9,서울,"• 다양한 형태의 데이터 분석 및 모델링 가능하신 분
• 데이터 및 머신러닝에 대한 수학적 이해와 통계적 지식이 있는 분
• 최신 알고리즘을 활용하여 실제 비즈니스 문제 해결 경험이 있으신 분
• 3년 이상 유관 업무 경험을 보유하신 분
• 원활한 커뮤니케이션을 통해 분석 및 모델링 결과를 동료들과 소통 할 수 있는 분"
98,(주)몰로코,Influencer marketing specialist - Online Education (인플루언서 마케팅),4.3,서울,"MOLOCO seeks exceptional Android/iOS SDK Software Engineers to join us in building a state-of-the-art mobile advertising platform. You will be building a world-class infrastructure that combines machine learning and big data to help companies supercharge their growth. Many leading service owners and marketers worldwide already benefit from MOLOCO’s innovative technology to scale performance quickly and efficiently through battle-tested prediction models.

As a company founded by Software Engineers, we understand the value of a strong engineering team and strive to hire only the best talent. You will be challenged to solve real-world problems with top-notch colleagues. Check out our case study published by Google https://cloud.google.com/customers/moloco/.

- Innovate: Lead the development of cutting-edge ad SDKs that can innovate the industry with our top-notch engineering team members.
- Collaborate: Work with infra and ML teams to maximize the impact of SDKs.
- Make Impact: Closely work with our product managers and biz dev teams to insert our SDK to partner companies."
99,브이아이피키드(주),홍보/마케팅 집행 및 분석,3.5,전국,"The Role 
We are looking for a strategic and detail oriented influencer marketing specialist to manage our brand amplification and demand generation through influencer partnerships. The ideal candidate understands the influencer and key opinion leader ecosystem on key platforms; including but not limited to Instagram, Facebook, Youtube, TikTok, blogs and online communities. S/he is also an agile multi-tasker, able to manage several portfolios of partnership initiatives in different phases of development. 

Responsibilities
Define and execute local marketing acquisition strategy for influencer marketing
Qualify and negotiate rates with influencers. (# of Following, Engagement Rate, Feed Posts align with the brand's mission, estimated CAC, etc.)
Draft project briefing documents (with the team’s guidance) so influencers can understand product messaging and guidelines for content creation
Quality assurance on influencer content and airchecks prior to content going live
Escalate issues when appropriate regarding influencer contract negotiation and influencer deliverables
Gather content performance metrics directly from the influencers and import them into a tracking spreadsheet (total impressions, story views, engagements, etc.)
Responsible for media ROI and KPI targets of influencer promotion in the local market, identify solutions and make recommendations to improve effectiveness based on performance monitoring.
Collaborate and support team members on digital advertising, content marketing, etc.
Plan and execute the in country demand generation and brand building strategy through influencer partnerships
Search, contact and on board influencers across different platforms. 
Create project plans, briefing documents, scripts and other documents required for effective management of influencer partnerships
Quality assurance of content and content edits (airchecks for video platforms)
Measure and track KPI’s for the influencer content to ensure best ROI
Methodically run pilots, and A/B tests to identify improvement opportunities. 
Attend any marketing events when required.
Any other ad-hoc duties as required.
"
100,(주)티빙,DBA 경력채용,3.8,서울,"- Oracle/MySQL/MongoDB 데이터베이스 운영 및 문제해결
- 데이터베이스 클러스터링, 이기종간 데이터 마이그레이션
- 데이터베이스 성능 최적화 및 아키텍처링"
101,(주)티빙,이커머스 기획 및 운영 전문,3.8,서울,"- Oracle/MySQL/MongoDB 데이터베이스 운영 및 문제해결
- 데이터베이스 클러스터링, 이기종간 데이터 마이그레이션
- 데이터베이스 성능 최적화 및 아키텍처링"
102,아카라코리아(주),[민병철유폰] 퍼포먼스 마케터,5.0,서울,"• 4년제 대학 졸업 이상 (전공 무관)
• 업무 경력 5년 이상
• 디지털/퍼포먼스 마케팅 및 프로모션 기획 우수
• 카페 24/사방넷 솔루션 사용 경험
• 데이터 분석 툴 활용 경험(GA외)"
103,(주)민병철교육그룹,Machine Vision Field Engineer,2.8,서울,"• 관련 경력 총 5년 이상인 분
• KPI 개선을 위한 가설수립 - 운영 - 개선 사이클 경험이 있는 분
• 앱/웹 퍼포먼스 마케팅을 집행하고 데이터 분석을 통해 전환율 개선 경험이 있는 분
• 랜딩 및 이벤트 페이지를 기획해서 성공한 경험을 자랑해주실 수 있는 분
• 데이터 기반의 문제 해결을 즐기는 분"
104,세이지리서치(주),시니어 백엔드 소프트웨어 엔지니어,4.9,서울,"• [Customer Success]
   고객이 솔루션을 성공적으로 사용할 수 있도록 모든 '기술 지원 업무'를 수행합니다.
    - 고객사 데이터를 체계적으로 관리 및 분석
    - 세이지리서치의 제품을 통해 고객사의 데이터를 학습시켜 최적의 딥러닝 모델 제공
    - 세이지리서치 솔루션의 성공적인 셋업을 위한 현장 지원 및 대응 (국내 및 해외 출장 가능)

• [비전 솔루션 제안]
   아래의 업무들을 수행합니다.
    - 검사 시료 검토
    - 광학 부품 발주 및 관리
    - 광학 시스템 테스트 및 분석
    - Demo 진행 등 머신 비전 솔루션 제안을 위한 업무

• [VoC 수집 및 제품 개선 기여]
   주기적으로 고객사에 방문하여 솔루션 업데이트 상황을 설명하고, 적극적으로 기술적인 VoC
   (Voice of Customer)를 수집합니다. 고객의 요구를 회사에 공유하여 제품 개선에 기여합니다.

• [교육 지원]
   온라인, 오프라인을 통한 딥러닝 솔루션 교육을 진행합니다."
105,(주)몰로코,[패스트캠퍼스] 교육사업 프로젝트 매니저(PM),4.3,서울,"• CS전공자로서 IT업계 10년 이상의 Software 개발 경력 (박사급은 6년 이상)
• Data structure 및 알고리즘을 활용한 수준급의 문제해결 역량
• 최소 1개 이상의 프로그래밍 언어를 통한 소프트웨어 개발 기술 (개발언어 무관)

"
106,데이원컴퍼니(주),Product Owner (5-8년),2.7,서울,"• 다양한 교육 내용에 대한 빠른 학습능력, 자기계발에 대한 욕심
• 이해관계자들과의 유연하고 명확한 커뮤니케이션 능력, 갑작스런 이슈에 대한 문제 해결력
• 교육 만족도 극대화를 위해 능동적이고 치열하게 고민하는 주도적인 자세
• 교육생과의 라포 형성을 위해 적극적으로 소통하고 관리하는 태도
• 내가 맡은 교육 건에 대해 끝까지 결과를 만드는 끈기와 책임감"
107,(주)크몽,[글로벌디지털마케팅] 디지털 캠페인 광고 성과 분석 담당자,3.7,서울,"• 비즈니스 전략에 따른 프로덕트 주요 과제 및 로드맵 수립
• 정량, 정성적 데이터 분석을 통한 문제점을 도출 및 해결 방안 제시
• 다양한 부서와의 협업하여 서비스를 기획하고 프로젝트 리딩"
108,콘센트릭스서비스코리아(유),Marketing Researcher,2.5,서울,"- 데이터 기반 디지털마케팅 활동 분석 및 인사이트 도출
- 디지털 캠페인/광고 성과 분석 및 인사이트 도출
- DMP, ADH 등 3rd-party 데이터를 활용한 오디언스 분석 및 타겟 팅 제안
- 대시보드를 통한 글로벌 국가별 성과 시각화 및 리포팅"
109,(주)칸타코리아 테일러넬슨소프레스코리아,슬라운드와 함께 성장할 퍼포먼스 마케터를 찾습니다.,3.1,서울,"• 1년 이상의 리서치, 데이터 분석 혹은 마케팅 경력자"
110,(주)바잇미,반려동물 용품 기획 AMD,4.0,서울,"• 온라인 및 반려동물 산업에 대한 높은 이해도를 가지신분
• 엑셀 및 구글 스프레드 시트 활용 역량을 보유하신 분
• 꼼꼼하신 분"
111,(주)바잇미,(산업기능요원 가능) 프론트엔드 소프트웨어 엔지니어 Frontend Software Engineer,4.0,서울,"• 온라인 및 반려동물 산업에 대한 높은 이해도를 가지신분
• 엑셀 및 구글 스프레드 시트 활용 역량을 보유하신 분
• 꼼꼼하신 분"
112,(주)몰로코,(전문연구요원 가능) 프론트엔드 소프트웨어 엔지니어 Frontend Software Engineer,4.3,서울,"• Build the world-class online advertising platform, analytics platform, and supporting tools.
• Collaborate with internal/external cross-functional teams to make the best advertising products.
• Learn and explore new front-end technologies for planning new features to improve the services."
113,(주)몰로코,퍼포먼스/그로스 마케터,4.3,서울,"• Build the world-class online advertising platform, analytics platform, and supporting tools.
• Collaborate with internal/external cross-functional teams to make the best advertising products.
• Learn and explore new front-end technologies for planning new features to improve the services."
114,(주)콘스탄트,전략기획팀 사업/성장 전략 부문,4.7,서울,"- Full Funnel (AARRR) 중 Acquisition과 Activation, Retention 개선을 위한 데이터 분석 및 액션 플랜 제안
-CAC:LTV 관점에서 SNS, SA 등 주요 Paid / Non-Paid 채널 KPI 지표 셋업 및 운영 전략 수립
-Convertflow, Fomo 등 CRM 툴을 활용하여 사용자 Segment 관리, 전략 수립 및 실행
-Growth Hacking 관점에서 가설 수립, 검증을 위한 A/B 테스트 실행
-수집 데이터를 기반으로 Product Team에 제품 개선 Insight 제안 및 참여"
115,(주)푸드테크,Content marketing specialist - Online Education (콘텐츠 마케팅),3.3,서울,"• 내/외부 환경 분석을 통한 미래 시장에 대한 Insight 도출
• 전사 사업 Portfolio 방향성, 중장기 사업(성장) 전략 수립
• 신규 사업 비즈니스 모델 발굴 및 고도화 
• IR 자료 작성 및 투자자 대응 지원 (자료 작성 등)"
116,브이아이피키드(주),퍼포먼스 마케터(Performance Marketer),3.5,전국,"The Role 

We are looking for a results driven content marketing specialist to create compelling and engaging customer facing content. The ideal candidate understands the strategic components of earned media engagement, empowering positive word of mouth “buzz”, and creating brand loyalty. The ideal candidate will also have managed a social media account or community initiatives at scale, using organic and non-promotional resources to drive engagement. 

Responsibilities

Design and create compelling customer-facing content to drive user engagement across different owned platforms such as: blog, email, messaging, site, app, and community
Partner with influencer marketing and performance marketing to establish a consistent “brand voice” across all channels. 
Provide design, messaging, and content creation support to leverage across different customer-facing channels. 
Methodically run pilots, and A/B tests to identify improvement opportunities. 
Work with HQ product and engineering team to continuously improve site engagement and conversion. 
Attend any marketing events when required.
Any other ad-hoc duties as required.
"
117,텀블벅(주),[핀테크] UX 서비스기획자,3.5,서울,"• 창작자 · 후원자의 유치와 참여, 유지율을 향상시키는 마케팅 전략 도출 및 실행
• 웹, 앱 데이터를 활용한 온라인 마케팅 전략 수립과 실행(가설 수립, 소재기획, 캠페인 운영)
• 데이터 분석을 통한 퍼포먼스 분석 및 개선(Amplitude, GA, Branch 등)
• 광고 크리에이티브 방향 수립 및 피드백
• 신규 마케팅 채널 발굴 및 테스트"
118,(주)파운트,Infra DBA 담당자,3.0,서울,"• 디지털 프로덕트/플랫폼/서비스를 3년 이상 기획 혹은 운영해본 경험이 있으신 분
• 데이터기반의 서비스 기획 프로세스를 경험하셨거나 사고방식을 보유하신 분
• 고객 중심의 문제 해결 경험이 있으신 분
• 각종 이해관계자와의 커뮤니케이션이 원활하신 분
• 지방 파견 및 상주 근무가 가능하신 분(~3/31 까지) 

"
119,캐롯손해보험(주),[미스터카멜] UXUI디자이너,3.4,서울,"ㆍTIBERO 데이터베이스를 운영하고 관리해요.
ㆍ데이터베이스 최적화 및 스키마 관리를 진행해요.
ㆍ데이터베이스 모니터링, 성능분석, 장애조치 업무를 수행해요.
ㆍ데이터베이스 설계, 용량산정, 백업/복구, 정규화 업무를 수행해요.
ㆍSQL 쿼리 튜닝, 인스턴스 튜닝 등을 진행해요."
120,(주)디에이그라운드,[Quant Resercher] 퀀트 리서처,4.7,서울,"- 크립토, 금융, 특히 트레이딩에 대한 경험이 있으신 분
- 데이터 분석 경험이 있으신 분
특히, 시계열 데이터 및 비정형적이고 정답이 없는 영역에 대한 데이터 분석
- 금융 및 크립토 트레이딩에 대한 호기심과 전반적 이해를 가지신 분
- 다른 리서처, 개발자와 명료하게 의사소통할 수 있는 능력이 가지신 분(Verbal + Writing)
- 접해보지 못했던 새로운 문제를 자율적이고 도전적으로 해결할 수 있는 능력을 가지신 분


sandbank Quant Researcher를 이루는 핵심 기술 스택

- 파이썬(Pandas, Numpy, ScikitLearn, TensorFlow, … ,) + MySQL
- 문서 작성 및 시각화(Matplotlib, Seaborn, 알고리즘 도식 등)"
121,(주)디에이그라운드,프로덕트 매니저(PM),4.7,서울,"- 크립토, 금융, 특히 트레이딩에 대한 경험이 있으신 분
- 데이터 분석 경험이 있으신 분
특히, 시계열 데이터 및 비정형적이고 정답이 없는 영역에 대한 데이터 분석
- 금융 및 크립토 트레이딩에 대한 호기심과 전반적 이해를 가지신 분
- 다른 리서처, 개발자와 명료하게 의사소통할 수 있는 능력이 가지신 분(Verbal + Writing)
- 접해보지 못했던 새로운 문제를 자율적이고 도전적으로 해결할 수 있는 능력을 가지신 분


sandbank Quant Researcher를 이루는 핵심 기술 스택

- 파이썬(Pandas, Numpy, ScikitLearn, TensorFlow, … ,) + MySQL
- 문서 작성 및 시각화(Matplotlib, Seaborn, 알고리즘 도식 등)"
122,(주)라라잡,DBA,3.5,서울,"• 동네알바 프로덕트 기획 및 프로젝트 리드
• 미션과 비전에 따른 제품 방향성 수립 및 로드맵 구체화
• 비즈니스 요구사항, VOC, 데이터 분석을 바탕으로 문제 정의 및 우선순위 조율
• 유효한 가설 및 측정 가능한 지표를 설정하고 검증을 통해 문제 해결
• 위의 과정을 통해 PMF를 찾고 목표를 달성"
123,핀다,IT 서비스기획,4.0,서울,"핀다 DBA는 아키텍처를 구성하고 Database를 안정적으로 운영합니다.
• 데이터베이스 분석, 설계, 구축, 운영
• 데이터베이스 최적화(Tuning) 및 스키마 관리
• 데이터베이스 성능 모니터링 및 장애에 대한 조치 시행
• 데이터웨어하우스 설계 및 구축, 운영

핀다 DBA에서 사용하고 있는 기술
• AWS RDS, Aurora DB (MySQL ), Redshift"
124,(주)엔터플,온라인 마케터,3.0,서울,"• SyncTree 서비스의 정책 및 기능 기획
• 시스템 아키텍처를 이해하고 컨셉에 맞는 UI/UX 및 정책서 기획
• 다양한 환경(Cloud, On-prem) 안에서 사용 Flow 및 프로세스 설계
• 사용자 스토리 및 요구사항에 필요한 산출물(와이어 프레임, 스토리보드 등)을 만들고 관리
• 기획/정책에 대한 목표와 의도를 명확히 파악하여 유관부서(개발, 디자인, QA, CS 등)와 커뮤니케이션 진행"
125,(주)푸드테크,[브랜드전략본부] 브랜드전략본부장 (경력),3.3,서울,"• 온라인 마케팅 활동 기반 영업 채널 운영을 위한 채널 성과 지표 집계 및 분석
• SNS 콘텐츠 기획 및 제작, 운영과 SA/DA 등 Paid 채널 내 광고 집행/효율 개선
• 마케팅 콘텐츠 기획-테스트-지표 및 데이터 검증-분석 사이클을 기반으로 타겟에 대한 메시지 소구 및 고도화"
126,(주)인스팅터스,Server Developer (Node.js),2.9,서울,"[ 자격요건 ]
- 퍼포먼스 마케팅 경력이 있으신 분
- KPI 달성, ROAS 개선 능력이 있으신 분
- 광고 직접 운영 및 관리 능력이 있으신 분
- 데이터 추출, 시각화, 분석 업무 능력 및 관련 툴(Power BI) 사용 가능하신 분
- 논리적이고 합리적인 문제해결 능력을 갖추신 분
- 꼼꼼하고 책임감 강하신 분
- 데이터(GA) 기반의 의사결정을 통한 성과 달성이 가능하신 분"
127,(주)띵스플로우,플랫폼 마케팅 매니저,3.9,서울,"• Node.js 개발 경험
• 데이터베이스(MySQL 등) 구조 설계 및 쿼리 작성 경험
• HTTP 프로토콜 기반 웹 어플리케이션 작성 경험
• git을 이용한 버전 관리 경험
• Computer Science(운영체제 및 네트워크, 자료구조, 데이터베이스)에 대한 이해"
128,(주)와우플래닛,마케팅 리드,2.0,서울,"- 온라인 마케팅 5년 이상 경력이어야 합니다.
- 페이스북/인스타그램/구글애드워즈 광고 집행 및 운영 경험이 필요합니다.
- Data-Driven 사고와 데이터 분석 툴 사용 능력 보유하고 있어야 합니다.
- 엑셀을 활용한 데이터 작성 및 분석이 가능해야합니다.
- 퍼포먼스 마케팅 전략을 수립하고 진행한 경력이 있어야 합니다."
129,트리플콤마(주),퍼포먼스 마케터,3.2,서울,"• 마케팅 관련 경력 최소 6년이상
• ROAS 달성을 위한 마케팅 액션 플랜 기획과 운영 경험
• 데이터 분석 능력 보유자
• 크리에이티브에 대해 열린 사고의 보유"
130,(주)칸타코리아 테일러넬슨소프레스코리아,Senior Research Executive,3.1,서울,"• 관련 경력 3년 이상(리서치/브랜드 마케팅/시장 조사/데이터 분석 경력자)
• 영어 이메일 커뮤니케이션 가능자"
131,(주)칸타코리아 테일러넬슨소프레스코리아,Sr. Server Developer (Node.js),3.1,서울,"• 관련 경력 3년 이상(리서치/브랜드 마케팅/시장 조사/데이터 분석 경력자)
• 영어 이메일 커뮤니케이션 가능자"
132,(주)띵스플로우,PO 프로덕트 오너 (5년 이상),3.9,서울,"• Node.js 개발 경험
• 데이터베이스(MySQL 등) 구조 설계 및 쿼리 작성 경험
• HTTP 프로토콜 기반 웹 어플리케이션 작성 경험
• git을 이용한 버전 관리 경험
• Computer Science(운영체제 및 네트워크, 자료구조, 데이터베이스)에 대한 이해"
133,(주)하이어엑스,Product Owner (WIPPY),5.0,서울,"- 자사 서비스 기획 : 워키도키 / 브라우니
- 프로덕트의 문제를 정의하고 개선 방안을 도출하며 서비스를 개선합니다.
- 사용자 관점과 데이터에 기반하여 프로덕트를 지속 개선합니다.
- 다방면으로 수집된 데이터를 분석하여 인사이트 도출합니다.
- 모든 프로덕트 결과물에 대한 퀄리티를 관리하고 유지합니다."
134,(주)엔라이즈,[광고사업부] 퍼포먼스 마케터 (AE) - 3년 이상,3.5,서울,"• 모바일 제품에 대한 PO/PM, 또는 서비스 기획 경험이 2년 이상 있으신 분
(연차는 단순히 물리적인 지표일 뿐, 직무에 대한 깊은 고민과 경험이 더 중요하다고 생각해요!)
• 데이터를 기반으로 사고하고 커뮤니케이션할 수 있는 분
• 근본적 목적에 대한 고민과, 그 목적을 달성하기 위한 가장 임팩트 있는 방법을 주도적으로 제시해주실 분
• 어떻게든 성과를 만들어내려는 Grit과 실행력이 있으신 분"
135,매드업(주),Back-end 개발자(ShipGo서비스 개발 및 운영),3.4,서울,"• 클라이언트 광고 제안 PM
• KPI 달성을 위한 가설 설정 및 검증
• 데이터 기반 의사결정
• 비즈니스 파트너들과의 협업을 위한 커뮤니케이션
• 디지털 마케팅 퍼포먼스 분석 및 매체 운영(SA, DA, Facebook, YouTube, DSP 등 디지털 전 매체)
• 디지털 미디어믹스 전략 기획 및 제안
• 리서치애드, 앱애니 등을 활용한 디지털 마케팅 시장 자료조사"
136,(주)트레드링스,Back-end 개발자(Tradlinx Platform 서비스 개발 및 운영),4.4,서울,"[Back-end 개발자(ShipGo서비스 개발 및 운영)는 이런 일을 해요]

• 트레드링스 서비스를 운영하고 개발 합니다.
• 데이터수집 시스템을 관리하고 개선 해요.
• 데이터를 활용한 신규 기능과 서비스를 구축 합니다."
137,(주)트레드링스,퍼포먼스 마케터 (팀장),4.4,서울,"[Back-end 개발자(Tradlinx Platform 서비스 개발 및 운영) 는 이런 일을 해요]

• 트레드링스 데이터 서비스를 개발 하고 운영 합니다.
• 데이터수집 시스템을 관리하고 개선해요.
• 데이터를 활용한 신규 기능과 서비스를 구축 합니다.
"
138,(주)센트비,Customer Solutions Engineer,3.2,서울,"[센트비 퍼포먼스 마케터에게 필요한 능력이에요]
• 관련 업무와 툴에 바로 hands-on 할 수 있는 수준 
• 캠페인에 필요한 카피라이팅 능력을 갖추신 분
• 망설임과 주저함이 없는 영어 능력을 갖추신 분
• 해외여행 또는 출장에 결격사유가 없으신 분


[아래 경험이 있는 퍼포먼스 마케터가 필요해요]
• Web/App 제품의 paid campaign을 기획/운영/분석/개선하여 성과를 창출한 경험 5-7년의 경험이 있는 분 (self-serve 기준)
• CRM 캠페인 전반에 대한 실무 경험이 있는 분 (self-serve 기준)
• 데이터 분석을 통한 전략 아이디어 도출/실행/분석/개선 경험이 있는 분
• 팀원 또는 프로젝트 리드 경험이 있는 분"
139,(주)몰로코,[병역특례_보충역/전직] 인프라 엔지니어,4.3,서울,"•Serve as a technical point-of-contact providing customers with implementation support, technical guidance, and promoting engineering best practices
•Analyze customer data and integration work to identify and mitigate data quality issues
•Proactively troubleshoot technical errors and issues, resolve or escalate internally within the team.
•Coordinate with internal engineering teams to test, document, and release features to customers
•Build and maintain sample code and reference implementations 
•Develop and maintain up-to-date external-facing technical documentations - web, github, etc."
140,(주)휴레이포지티브,[휴레이] 머신러닝 개발자,3.2,서울,"ㆍ고객을 위한 자연어 응답을 위한 모델 연구 및 개발(NLP)
ㆍ헬스케어 도메인에 특화된 데이터 분석 및 개발(Numerical Data)
ㆍ서비스에 필요한 새로운 문제 도출과 머신러닝/딥러닝 알고리즘을 통한 해결"
141,(주)휴레이포지티브,Product Owner (QUAT),3.2,서울,"ㆍ고객을 위한 자연어 응답을 위한 모델 연구 및 개발(NLP)
ㆍ헬스케어 도메인에 특화된 데이터 분석 및 개발(Numerical Data)
ㆍ서비스에 필요한 새로운 문제 도출과 머신러닝/딥러닝 알고리즘을 통한 해결"
142,(주)엔라이즈,Product Owner,3.5,서울,"• 모바일 제품에 대한 PO/PM, 또는 서비스 기획 경험이 2년 이상 있으신 분
(연차는 단순히 물리적인 지표일 뿐, 직무에 대한 깊은 고민과 경험이 더 중요하다고 생각해요!)
• 데이터를 기반으로 사고하고 커뮤니케이션할 수 있는 분
• 근본적 목적에 대한 고민과, 그 목적을 달성하기 위한 가장 임팩트 있는 방법을 주도적으로 제시해주실 분
• 어떻게든 성과를 만들어내려는 Grit과 실행력이 있으신 분"
143,트리플콤마(주),DBA (Junior),3.2,서울,"- 서비스 기획 및 PO/PM경험 5년이상
- 데이터 수집과 분석에 능하며 이에 필요한 툴 사용에 익숙하신 분
- 개발자, 디자이너 등 다양한 포지션의 동료와 협업하여 성과를 만들어보신 경험이 있는 분
- 스스로 목표와 전략을 설정하고 해결해가는 과정을 능동적으로 리딩할 수 있으신 분
- 기능정의서, WBS, 와이어프레임, 스토리보드 등을 직접 작성할 수 있는 능력이 있으신 분"
144,(주)스푼라디오,[CATCHFASHION] Service Operator,3.3,서울,"• 클라우드 환경에서 멀티 리전 데이터베이스 클러스터와 인스턴스 관리를 위한 DevOps 툴 구축
• MySQL, PostgreSQL 또는 그 외 오픈소스 데이터베이스의 데이터베이스 서버 클러스터링, 레플리케이션, HA/DR
• DB Major 버전 업그레이드 및 이 기종 DB간 Migration 진행
• DB Schema 설계 및 DB 성능 최적화 (쿼리 검수 / 테스트 / 튜닝 / 부하검증)와 트랜잭션 시스템의 아키텍처 리뷰와 설계
• 데이터베이스 솔루션 탐색, 데이터베이스 플랫폼의 향후 아키텍처 설계 및 구현
• 안정적인 DB 운영을 위한 모니터링 및 알림도구 구축
• DB 관련 접근 제어 솔루션 구성 및 운영"
145,(주)스마일벤처스,마케팅 팀장급,2.7,서울,"• 학력 - 무관
• 직무 관련 경력 -무관
• 직무 기대치
  : 성실한 분
  : 직무에 대해 배우고자 하는 의지가 있으신 분
  : 유연한 커뮤니케이션 스킬 가능하신 분"
146,(주)어바웃펫,퍼포먼스 마케터 (매니저),3.4,서울,"	4년제 대학 학사 소지하신 분
	적극적으로 업무를 끌어나갈 수 있는 분
	이커머스 업계에 대한 이해도가 높으신 분
	마케팅 관련 지표 도출 및 분석 능숙하신 분
	다양한 raw data 핸들링 및 결과 도출/분석 경험이 있으신 분
	데이터분석 및 시뮬레이션 역량 보유하신 분
	내/외부 유관부서와 유연한 커뮤니케이션이 가능하신 분
"
147,(주)센트비,[라이프해킹스쿨] 이러닝 교육 퍼포먼스 마케터,3.2,서울,"[센트비 퍼포먼스 마케터에게 필요한 능력이에요]
• 관련 업무와 툴에 바로 hands-on 할 수 있는 수준 
• 캠페인에 필요한 카피라이팅 능력을 갖추신 분
• 망설임과 주저함이 없는 영어 능력을 갖추신 분
• 해외여행 또는 출장에 결격사유가 없으신 분

[아래 경험이 있는 퍼포먼스 마케터가 필요해요]
• Web/App 제품의 paid campaign을 기획/운영/분석/개선하여 성과를 창출한 경험 5-7년의 경험이 있는 분 (self-serve 기준)
• CRM 캠페인 전반에 대한 실무 경험이 있는 분 (self-serve 기준)
• 데이터 분석을 통한 전략 아이디어 도출/실행/분석/개선 경험이 있는 분
• 팀원 또는 프로젝트 리드 경험이 있는 분"
148,넥스트러너스(주),브랜드 마케터,0.0,서울,"• 유관 업무 경력 1년 이상
• Google Analytics 등 데이터 분석 툴 활용 가능한 분
• 데이터 분석을 통해 인사이트 도출이 가능한 분
• 광고 세팅 및 운영 가능한 분"
